Dataset,Species,Condition,Hallmark,Gene,Log2FC,P_Value,Direction
GSE31458,Mouse,MPTP (Parkinson's model),Loss_of_Proteostasis,Ubb,-0.004,0.1573,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Loss_of_Proteostasis,Hspa1a,0.108,0.0168,UP
GSE31458,Mouse,MPTP (Parkinson's model),Nutrient_Sensing,Mtor,-0.011,0.1217,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Nutrient_Sensing,Sirt1,0.015,0.2155,UP
GSE31458,Mouse,MPTP (Parkinson's model),Nutrient_Sensing,Igf1,-0.058,0.1758,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Nutrient_Sensing,Igf1r,-0.047,0.1088,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Nutrient_Sensing,Foxo3,-0.005,0.4056,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Mitochondrial_Dysfunction,Sod2,-0.005,0.4992,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Mitochondrial_Dysfunction,Park2,0.032,0.0051,UP
GSE31458,Mouse,MPTP (Parkinson's model),Mitochondrial_Dysfunction,Ppargc1a,-0.023,0.2273,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Mitochondrial_Dysfunction,Tfam,-0.013,0.0015,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Mitochondrial_Dysfunction,Pink1,-0.006,0.4119,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Cellular_Senescence,Glb1,-0.003,0.8181,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Cellular_Senescence,Rb1,-0.016,0.4511,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Cellular_Senescence,Serpine1,0.024,0.4766,UP
GSE31458,Mouse,MPTP (Parkinson's model),Cellular_Senescence,Cdkn1a,0.066,0.0186,UP
GSE31458,Mouse,MPTP (Parkinson's model),Cellular_Senescence,Trp53,0.069,0.0003,UP
GSE31458,Mouse,MPTP (Parkinson's model),Cellular_Senescence,Cdkn2a,-0.012,0.4232,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Stem_Cell_Exhaustion,Sox2,-0.038,0.0268,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Stem_Cell_Exhaustion,Klf4,0.028,0.5159,UP
GSE31458,Mouse,MPTP (Parkinson's model),Stem_Cell_Exhaustion,Bmi1,-0.02,0.0077,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Stem_Cell_Exhaustion,Pou5f1,-0.017,0.2541,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Stem_Cell_Exhaustion,Nanog,-0.005,0.8136,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Stem_Cell_Exhaustion,Tert,-0.022,0.141,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Altered_Intercellular_Comm,Tnf,-0.019,0.1134,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Altered_Intercellular_Comm,Tgfb1,0.038,0.1832,UP
GSE31458,Mouse,MPTP (Parkinson's model),Altered_Intercellular_Comm,Nfkb1,0.022,0.0571,UP
GSE31458,Mouse,MPTP (Parkinson's model),Altered_Intercellular_Comm,Il1b,-0.02,0.0983,DOWN
GSE31458,Mouse,MPTP (Parkinson's model),Altered_Intercellular_Comm,Cxcl2,0.019,0.2874,UP
GSE31458,Mouse,MPTP (Parkinson's model),Altered_Intercellular_Comm,Il6,0.016,0.2609,UP
