"ID","Symbol","Name","Expression","Other databases"
"11051","NUDT21","nudix hydrolase 21","Under-expressed",""
"83540","NUF2","NUF2 component of NDC80 kinetochore complex","Under-expressed",""
"57122","NUP107","nucleoporin 107","Under-expressed",""
"23165","NUP205","nucleoporin 205","Under-expressed","GA:Ce"
"129401","NUP35","nucleoporin 35","Under-expressed",""
"79023","NUP37","nucleoporin 37","Under-expressed",""
"53371","NUP54","nucleoporin 54","Under-expressed",""
"23636","NUP62","nucleoporin 62","Under-expressed",""
"79902","NUP85","nucleoporin 85","Under-expressed","GA:Ce"
"51203","NUSAP1","nucleolar and spindle associated protein 1","Under-expressed",""
"91775","NXPE3","neurexophilin and PC-esterase domain family member 3","Over-expressed",""
"29107","NXT1","nuclear transport factor 2 like export factor 1","Under-expressed",""
"55916","NXT2","nuclear transport factor 2 like export factor 2","Under-expressed",""
"4953","ODC1","ornithine decarboxylase 1","Under-expressed",""
"79627","OGFRL1","opioid growth factor receptor like 1","Over-expressed",""
"11339","OIP5","Opa interacting protein 5","Under-expressed",""
"169611","OLFML2A","olfactomedin like 2A","Under-expressed",""
"56944","OLFML3","olfactomedin like 3","Under-expressed",""
"23596","OPN3","opsin 3","Over-expressed",""
"10133","OPTN","optineurin","Over-expressed",""
"4998","ORC1","origin recognition complex subunit 1","Under-expressed","GA:ScCA:Hs"
"4999","ORC2","origin recognition complex subunit 2","Under-expressed",""
"23594","ORC6","origin recognition complex subunit 6","Under-expressed",""
"94103","ORMDL3","ORMDL sphingolipid biosynthesis regulator 3","Over-expressed",""
"28962","OSTM1","osteoclastogenesis associated transmembrane protein 1","Over-expressed",""
"220213","OTUD1","OTU deubiquitinase 1","Over-expressed",""
"5026","P2RX5","purinergic receptor P2X 5","Over-expressed",""
"55214","P3H2","prolyl 3-hydroxylase 2","Over-expressed",""
"8974","P4HA2","prolyl 4-hydroxylase subunit alpha 2","Over-expressed",""
"5036","PA2G4","proliferation-associated 2G4","Under-expressed",""
"8106","PABPN1","poly(A) binding protein nuclear 1","Under-expressed",""
"5050","PAFAH1B3","platelet activating factor acetylhydrolase 1b catalytic subunit 3","Under-expressed",""
"79447","PAGR1","PAXIP1 associated glutamate rich protein 1","Under-expressed",""
"10606","PAICS","phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase","Under-expressed",""
"5066","PAM","peptidylglycine alpha-amidating monooxygenase","Over-expressed",""
"25891","PAMR1","peptidase domain containing associated with muscle regeneration 1","Over-expressed",""
"9060","PAPSS2","3'-phosphoadenosine 5'-phosphosulfate synthase 2","Over-expressed","GA:ScCA:Hs"
"124222","PAQR4","progestin and adipoQ receptor family member 4","Under-expressed",""
"142","PARP1","poly(ADP-ribose) polymerase 1","Under-expressed","GA:MmGA:CeGA:HsL:HsCA:Hs"
"55010","PARPBP","PARP1 binding protein","Under-expressed",""
"22976","PAXIP1","PAX interacting protein 1","Under-expressed",""
"55872","PBK","PDZ binding kinase","Under-expressed",""
"57575","PCDH10","protocadherin 10","Over-expressed",""
"57717","PCDHB16","protocadherin beta 16","Over-expressed",""
"56133","PCDHB2","protocadherin beta 2","Over-expressed",""
"56128","PCDHB8","protocadherin beta 8","Over-expressed",""
"5106","PCK2","phosphoenolpyruvate carboxykinase 2, mitochondrial","Under-expressed","GA:Ce"
"9768","PCLAF","PCNA clamp associated factor","Under-expressed",""
"5111","PCNA","proliferating cell nuclear antigen","Under-expressed","GA:HsL:Hs"
"5116","PCNT","pericentrin","Under-expressed",""
"22990","PCNX1","pecanex 1","Over-expressed",""
"5118","PCOLCE","procollagen C-endopeptidase enhancer","Under-expressed",""
"51449","PCYOX1","prenylcysteine oxidase 1","Over-expressed",""
"80380","PDCD1LG2","programmed cell death 1 ligand 2","Over-expressed",""
"5164","PDK2","pyruvate dehydrogenase kinase 2","Over-expressed",""
"8682","PEA15","proliferation and apoptosis adaptor protein 15","Over-expressed","CA:Hs"
"64065","PERP","p53 apoptosis effector related to PMP22","Over-expressed","L:Hs"
"5198","PFAS","phosphoribosylformylglycinamidine synthase","Under-expressed","GA:Sc"
"5214","PFKP","phosphofructokinase, platelet","Under-expressed","GA:Hsµ"
"93210","PGAP3","post-GPI attachment to proteins phospholipase 3","Over-expressed",""
"84547","PGBD1","piggyBac transposable element derived 1","Under-expressed",""
"283209","PGM2L1","phosphoglucomutase 2 like 1","Over-expressed",""
"10424","PGRMC2","progesterone receptor membrane component 2","Over-expressed",""
"11331","PHB2","prohibitin 2","Under-expressed","GA:ScGA:CeCA:Hs"
"1911","PHC1","polyhomeotic homolog 1","Under-expressed",""
"55274","PHF10","PHD finger protein 10","Under-expressed",""
"26147","PHF19","PHD finger protein 19","Under-expressed","DR:Mm"
"26227","PHGDH","phosphoglycerate dehydrogenase","Under-expressed","CA:Hs"
"57157","PHTF2","putative homeodomain transcription factor 2","Over-expressed",""
"80235","PIGZ","phosphatidylinositol glycan anchor biosynthesis class Z","Over-expressed",""
"113791","PIK3IP1","phosphoinositide-3-kinase interacting protein 1","Over-expressed",""
"8503","PIK3R3","phosphoinositide-3-kinase regulatory subunit 3","Over-expressed",""
"5292","PIM1","Pim-1 proto-oncogene, serine/threonine kinase","Under-expressed","CA:Hs"
"54478","PIMREG","PICALM interacting mitotic regulator","Under-expressed",""
"65018","PINK1","PTEN induced kinase 1","Over-expressed","GA:DmCA:Hs"
"79837","PIP4K2C","phosphatidylinositol-5-phosphate 4-kinase type 2 gamma","Over-expressed",""
"91461","PKDCC","protein kinase domain containing, cytoplasmic","Under-expressed",""
"9088","PKMYT1","protein kinase, membrane associated tyrosine/threonine 1","Under-expressed","GA:Sc"
"23659","PLA2G15","phospholipase A2 group XV","Over-expressed",""
"8605","PLA2G4C","phospholipase A2 group IVC","Over-expressed",""
"219348","PLAC9","placenta associated 9","Under-expressed",""
"5327","PLAT","plasminogen activator, tissue type","Over-expressed","L:Hs"
"5332","PLCB4","phospholipase C beta 4","Over-expressed","GA:Ce"
"59338","PLEKHA1","pleckstrin homology domain containing A1","Over-expressed",""
"51177","PLEKHO1","pleckstrin homology domain containing O1","Under-expressed",""
"5347","PLK1","polo like kinase 1","Under-expressed","CA:Hs"
"10733","PLK4","polo like kinase 4","Under-expressed",""
"5351","PLOD1","procollagen-lysine,2-oxoglutarate 5-dioxygenase 1","Over-expressed",""
"5352","PLOD2","procollagen-lysine,2-oxoglutarate 5-dioxygenase 2","Over-expressed",""
"196051","PLPP4","phospholipid phosphatase 4","Over-expressed",""
"57088","PLSCR4","phospholipid scramblase 4","Over-expressed","GA:CeGA:Hsµ"
"84898","PLXDC2","plexin domain containing 2","Over-expressed",""
"55558","PLXNA3","plexin A3","Over-expressed",""
"135293","PM20D2","peptidase M20 domain containing 2","Under-expressed",""
"10957","PNRC1","proline rich nuclear receptor coactivator 1","Over-expressed",""
"25886","POC1A","POC1 centriolar protein A","Under-expressed",""
"5420","PODXL","podocalyxin like","Over-expressed",""
"5422","POLA1","DNA polymerase alpha 1, catalytic subunit","Under-expressed","GA:CeGA:Hs"
"23649","POLA2","DNA polymerase alpha 2, accessory subunit","Under-expressed",""
"5424","POLD1","DNA polymerase delta 1, catalytic subunit","Under-expressed","GA:HsL:Hs"
"5425","POLD2","DNA polymerase delta 2, accessory subunit","Under-expressed",""
"10714","POLD3","DNA polymerase delta 3, accessory subunit","Under-expressed",""
"5426","POLE","DNA polymerase epsilon, catalytic subunit","Under-expressed","L:Hs"
"5427","POLE2","DNA polymerase epsilon 2, accessory subunit","Under-expressed",""
"10721","POLQ","DNA polymerase theta","Under-expressed",""
"5433","POLR2D","RNA polymerase II subunit D","Under-expressed",""
"55624","POMGNT1","protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)","Over-expressed",""
"10631","POSTN","periostin","Under-expressed",""
"10465","PPIH","peptidylprolyl isomerase H","Under-expressed","L:Hs"
"5501","PPP1CC","protein phosphatase 1 catalytic subunit gamma","Under-expressed",""
"94274","PPP1R14A","protein phosphatase 1 regulatory inhibitor subunit 14A","Under-expressed",""
"5507","PPP1R3C","protein phosphatase 1 regulatory subunit 3C","Over-expressed",""
"11230","PRAF2","PRA1 domain family member 2","Over-expressed",""
"9055","PRC1","protein regulator of cytokinesis 1","Under-expressed",""
"9581","PREPL","prolyl endopeptidase like","Over-expressed",""
"166336","PRICKLE2","prickle planar cell polarity protein 2","Over-expressed",""
"5557","PRIM1","DNA primase subunit 1","Under-expressed",""
"5558","PRIM2","DNA primase subunit 2","Under-expressed",""
"201973","PRIMPOL","primase and DNA directed polymerase","Under-expressed",""
"5577","PRKAR2B","protein kinase cAMP-dependent type II regulatory subunit beta","Under-expressed","GA:ScGA:Mm"
"10196","PRMT3","protein arginine methyltransferase 3","Under-expressed","GA:Sc"
"55170","PRMT6","protein arginine methyltransferase 6","Under-expressed","GA:ScCA:Hs"
"5621","PRNP","prion protein","Over-expressed","GA:HsµL:Hs"
"84950","PRPF38A","pre-mRNA processing factor 38A","Under-expressed","GA:Ce"
"9128","PRPF4","pre-mRNA processing factor 4","Under-expressed",""
"5631","PRPS1","phosphoribosyl pyrophosphate synthetase 1","Over-expressed","GA:Sc"
"5634","PRPS2","phosphoribosyl pyrophosphate synthetase 2","Under-expressed","GA:Sc"
"55771","PRR11","proline rich 11","Under-expressed",""
"51334","PRR16","proline rich 16","Under-expressed",""
"5638","PRRG1","proline rich and Gla domain 1","Over-expressed",""
"5396","PRRX1","paired related homeobox 1","Under-expressed",""
"11098","PRSS23","serine protease 23","Over-expressed","GA:Hsµ"
"56952","PRTFDC1","phosphoribosyl transferase domain containing 1","Under-expressed",""
"5669","PSG1","pregnancy specific beta-1-glycoprotein 1","Over-expressed",""
"5670","PSG2","pregnancy specific beta-1-glycoprotein 2","Over-expressed",""
"5672","PSG4","pregnancy specific beta-1-glycoprotein 4","Over-expressed",""
"5673","PSG5","pregnancy specific beta-1-glycoprotein 5","Over-expressed",""
"5675","PSG6","pregnancy specific beta-1-glycoprotein 6","Over-expressed",""
"5676","PSG7","solute carrier family 38 member 1","Over-expressed",""
"5678","PSG9","pregnancy specific beta-1-glycoprotein 9","Over-expressed",""
"29893","PSMC3IP","PSMC3 interacting protein","Under-expressed",""
"5720","PSME1","proteasome activator subunit 1","Under-expressed",""
"84262","PSMG3","proteasome assembly chaperone 3","Under-expressed",""
"84722","PSRC1","proline and serine rich coiled-coil 1","Under-expressed",""
"9050","PSTPIP2","proline-serine-threonine phosphatase interacting protein 2","Over-expressed",""
"5725","PTBP1","polypyrimidine tract binding protein 1","Under-expressed",""
"9317","PTER","phosphotriesterase related","Under-expressed",""
"5742","PTGS1","prostaglandin-endoperoxide synthase 1","Under-expressed","GA:Hsµ"
"5757","PTMA","prothymosin alpha","Under-expressed",""
"5796","PTPRK","protein tyrosine phosphatase receptor type K","Over-expressed",""
"5797","PTPRM","protein tyrosine phosphatase receptor type M","Over-expressed",""
"9232","PTTG1","PTTG1 regulator of sister chromatid separation, securin","Under-expressed","CA:Hs"
"5806","PTX3","pentraxin 3","Under-expressed",""
"9933","PUM3","pumilio RNA binding family member 3","Under-expressed",""
"5827","PXMP2","peroxisomal membrane protein 2","Under-expressed","GA:Sc"
"29108","PYCARD","PYD and CARD domain containing","Under-expressed",""
"79832","QSER1","glutamine and serine rich 1","Under-expressed",""
"26056","RAB11FIP5","RAB11 family interacting protein 5","Over-expressed",""
"10966","RAB40B","RAB40B, member RAS oncogene family","Over-expressed",""
"51560","RAB6B","RAB6B, member RAS oncogene family","Over-expressed","GA:Sc"
"29127","RACGAP1","Rac GTPase activating protein 1","Under-expressed","CA:Hs"
"5885","RAD21","RAD21 cohesin complex component","Under-expressed","CA:Hs"
"5888","RAD51","RAD51 recombinase","Under-expressed","GA:ScGA:HsL:Hs"
"10635","RAD51AP1","RAD51 associated protein 1","Under-expressed",""
"5892","RAD51D","RAD51 paralog D","Under-expressed","GA:ScL:Hs"
"25788","RAD54B","RAD54 homolog B","Under-expressed",""
"8438","RAD54L","RAD54 like","Under-expressed","L:Hs"
"26064","RAI14","retinoic acid induced 14","Over-expressed","GA:HsµDR:Ce"
"5902","RANBP1","RAN binding protein 1","Under-expressed",""
"5920","RARRES3","phospholipase A and acyltransferase 4","Over-expressed",""
"65997","RASL11B","RAS like family 11 member B","Under-expressed",""
"5931","RBBP7","RB binding protein 7, chromatin remodeling factor","Under-expressed","GA:Sc"
"5932","RBBP8","RB binding protein 8, endonuclease","Under-expressed",""
"5933","RBL1","RB transcriptional corepressor like 1","Under-expressed","CA:Hs"
"221662","RBM24","RNA binding motif protein 24","Over-expressed",""
"27316","RBMX","RNA binding motif protein X-linked","Under-expressed",""
"5947","RBP1","retinol binding protein 1","Under-expressed","GA:CeGA:CeGA:CeGA:CeGA:DmGA:HsµCA:Hs"
"348093","RBPMS2","RNA binding protein, mRNA processing factor 2","Under-expressed","GA:Ce"
"57333","RCN3","reticulocalbin 3","Under-expressed","GA:Ce"
"7905","REEP5","receptor accessory protein 5","Over-expressed",""
"54884","RETSAT","retinol saturase","Over-expressed","GA:Hsµ"
"81691","REXO5","RNA exonuclease 5","Under-expressed",""
"5982","RFC2","replication factor C subunit 2","Under-expressed",""
"5983","RFC3","replication factor C subunit 3","Under-expressed",""
"5984","RFC4","replication factor C subunit 4","Under-expressed",""
"359845","RFLNB","refilin B","Under-expressed",""
"55159","RFWD3","ring finger and WD repeat domain 3","Under-expressed",""
"26575","RGS17","regulator of G protein signaling 17","Under-expressed",""
"57414","RHBDD2","rhomboid domain containing 2","Over-expressed","DR:Mm"
"58480","RHOU","ras homolog family member U","Over-expressed",""
"55183","RIF1","replication timing regulatory factor 1","Under-expressed",""
"22999","RIMS1","regulating synaptic membrane exocytosis 1","Over-expressed","GA:Ce"
"9610","RIN1","Ras and Rab interactor 1","Under-expressed",""
"54453","RIN2","Ras and Rab interactor 2","Over-expressed","GA:Hsµ"
"8780","RIOK3","RIO kinase 3","Over-expressed",""
"80010","RMI1","RecQ mediated genome instability 1","Under-expressed",""
"116028","RMI2","RecQ mediated genome instability 2","Under-expressed",""
"10535","RNASEH2A","ribonuclease H2 subunit A","Under-expressed","GA:ScCA:Hs"
"390","RND3","Rho family GTPase 3","Over-expressed",""
"7844","RNF103","ring finger protein 103","Over-expressed",""
"26994","RNF11","ring finger protein 11","Over-expressed",""
"51444","RNF138","ring finger protein 138","Under-expressed",""
"165918","RNF168","ring finger protein 168","Under-expressed",""
"6119","RPA3","replication protein A3","Under-expressed",""
"200916","RPL22L1","ribosomal protein L22 like 1","Under-expressed","GA:Sc"
"116832","RPL39L","ribosomal protein L39 like","Under-expressed","GA:Sc"
"6124","RPL4","ribosomal protein L4","Under-expressed","GA:CeGA:Hsµ"
"6125","RPL5","ribosomal protein L5","Under-expressed",""
"6217","RPS16","ribosomal protein S16","Under-expressed","GA:Ce"
"6203","RPS9","ribosomal protein S9","Under-expressed","CA:Hs"
"6237","RRAS","RAS related","Over-expressed","GA:ScGA:ScGA:Hsµ"
"6240","RRM1","ribonucleotide reductase catalytic subunit M1","Under-expressed","CA:Hs"
"6241","RRM2","ribonucleotide reductase regulatory subunit M2","Under-expressed","GA:CeCA:Hs"
"50484","RRM2B","ribonucleotide reductase regulatory TP53 inducible subunit M2B","Over-expressed","GA:CeCA:Hs"
"51319","RSRC1","arginine and serine rich coiled-coil 1","Under-expressed",""
"862","RUNX1T1","RUNX1 partner transcriptional co-repressor 1","Under-expressed",""
"8607","RUVBL1","RuvB like AAA ATPase 1","Under-expressed",""
"113174","SAAL1","serum amyloid A like 1","Under-expressed",""
"10055","SAE1","SUMO1 activating enzyme subunit 1","Under-expressed",""
"6294","SAFB","scaffold attachment factor B","Under-expressed",""
"401474","SAMD12","sterile alpha motif domain containing 12","Over-expressed",""
"54809","SAMD9","sterile alpha motif domain containing 9","Over-expressed",""
"219285","SAMD9L","sterile alpha motif domain containing 9 like","Over-expressed","GA:Hsµ"
"89958","SAPCD2","suppressor APC domain containing 2","Under-expressed",""
"51669","SARAF","store-operated calcium entry associated regulatory factor","Over-expressed",""
"6303","SAT1","spermidine/spermine N1-acetyltransferase 1","Over-expressed","GA:Hsµ"
"51435","SCARA3","scavenger receptor class A member 3","Under-expressed",""
"6319","SCD","stearoyl-CoA desaturase","Under-expressed","GA:Ce"
"79966","SCD5","stearoyl-CoA desaturase 5","Over-expressed","GA:Ce"
"7857","SCG2","secretogranin II","Over-expressed",""
"222663","SCUBE3","signal peptide, CUB domain and EGF like domain containing 3","Over-expressed",""
"57001","SDHAF3","succinate dehydrogenase complex assembly factor 3","Under-expressed",""
"81929","SEH1L","SEH1 like nucleoporin","Under-expressed",""
"8991","SELENBP1","selenium binding protein 1","Under-expressed","CA:Hs"
"140606","SELENOM","selenoprotein M","Over-expressed","GA:Hsµ"
"6415","SELENOW","selenoprotein W","Over-expressed",""
"10512","SEMA3C","semaphorin 3C","Over-expressed",""
"57556","SEMA6A","semaphorin 6A","Over-expressed","L:Hs"
"22929","SEPHS1","selenophosphate synthetase 1","Under-expressed",""
"57515","SERINC1","serine incorporator 1","Over-expressed",""
"347735","SERINC2","serine incorporator 2","Over-expressed",""
"10955","SERINC3","serine incorporator 3","Over-expressed","GA:Hsµ"
"5055","SERPINB2","serpin family B member 2","Over-expressed","CA:Hs"
"5176","SERPINF1","serpin family F member 1","Under-expressed","GA:Hsµ"
"5274","SERPINI1","serpin family I member 1","Over-expressed",""
"27244","SESN1","sestrin 1","Over-expressed","GA:Ce"
"6418","SET","SET nuclear proto-oncogene","Under-expressed",""
"23450","SF3B3","splicing factor 3b subunit 3","Under-expressed",""
"6421","SFPQ","splicing factor proline and glutamine rich","Under-expressed",""
"6422","SFRP1","secreted frizzled related protein 1","Under-expressed","GA:HsµCA:Hs"
"84251","SGIP1","SH3GL interacting endocytic adaptor 1","Over-expressed",""
"151648","SGO1","shugoshin 1","Under-expressed",""
"151246","SGO2","shugoshin 2","Under-expressed",""
"6448","SGSH","N-sulfoglucosamine sulfohydrolase","Over-expressed","L:Hs"
"9644","SH3PXD2A","SH3 and PX domains 2A","Over-expressed","GA:Hsµ"
"399694","SHC4","SHC adaptor protein 4","Over-expressed","GA:Ce"
"79801","SHCBP1","SHC binding and spindle associated 1","Under-expressed",""
"6472","SHMT2","serine hydroxymethyltransferase 2","Under-expressed","GA:ScGA:Sc"
"64374","SIL1","SIL1 nucleotide exchange factor","Over-expressed",""
"26037","SIPA1L1","signal induced proliferation associated 1 like 1","Over-expressed",""
"220134","SKA1","spindle and kinetochore associated complex subunit 1","Under-expressed",""
"348235","SKA2","spindle and kinetochore associated complex subunit 2","Under-expressed",""
"221150","SKA3","spindle and kinetochore associated complex subunit 3","Under-expressed",""
"6502","SKP2","S-phase kinase associated protein 2","Under-expressed","CA:Hs"
"9123","SLC16A3","solute carrier family 16 member 3","Over-expressed",""
"26503","SLC17A5","solute carrier family 17 member 5","Over-expressed",""
"6505","SLC1A1","solute carrier family 1 member 1","Over-expressed",""
"6507","SLC1A3","solute carrier family 1 member 3","Under-expressed",""
"6575","SLC20A2","solute carrier family 20 member 2","Over-expressed","GA:Sc"
"788","SLC25A20","solute carrier family 25 member 20","Over-expressed","GA:Sc"
"291","SLC25A4","solute carrier family 25 member 4","Over-expressed","GA:MmGA:ScGA:Sc"
"55972","SLC25A40","solute carrier family 25 member 40","Under-expressed","GA:Sc"
"283130","SLC25A45","solute carrier family 25 member 45","Over-expressed","GA:Sc"
"292","SLC25A5","solute carrier family 25 member 5","Under-expressed","GA:ScGA:ScGA:HsµCA:Hs"
"1318","SLC31A2","solute carrier family 31 member 2","Over-expressed","CA:Hs"
"54733","SLC35F2","solute carrier family 35 member F2","Under-expressed",""
"80255","SLC35F5","solute carrier family 35 member F5","Over-expressed",""
"92745","SLC38A5","solute carrier family 38 member 5","Under-expressed",""
"124935","SLC43A2","solute carrier family 43 member 2","Over-expressed",""
"29015","SLC43A3","solute carrier family 43 member 3","Under-expressed",""
"57153","SLC44A2","solute carrier family 44 member 2","Over-expressed",""
"283537","SLC46A3","solute carrier family 46 member 3","Over-expressed",""
"8884","SLC5A6","solute carrier family 5 member 6","Under-expressed",""
"8140","SLC7A5","solute carrier family 7 member 5","Under-expressed","GA:Dm"
"84679","SLC9A7","solute carrier family 9 member A7","Over-expressed",""
"91607","SLFN11","schlafen family member 11","Under-expressed",""
"55106","SLFN12","schlafen family member 12","Over-expressed",""
"9353","SLIT2","slit guidance ligand 2","Under-expressed",""
"10592","SMC2","structural maintenance of chromosomes 2","Under-expressed","CA:Hs"
"9126","SMC3","structural maintenance of chromosomes 3","Under-expressed",""
"10051","SMC4","structural maintenance of chromosomes 4","Under-expressed","GA:Ce"
"23347","SMCHD1","structural maintenance of chromosomes flexible hinge domain containing 1","Under-expressed",""
"6609","SMPD1","sphingomyelin phosphodiesterase 1","Over-expressed","GA:Ce"
"64750","SMURF2","SMAD specific E3 ubiquitin protein ligase 2","Over-expressed","CA:Hs"
"9627","SNCAIP","synuclein alpha interacting protein","Under-expressed",""
"9751","SNPH","syntaphilin","Over-expressed",""
"9410","SNRNP40","small nuclear ribonucleoprotein U5 subunit 40","Under-expressed",""
"6626","SNRPA","small nuclear ribonucleoprotein polypeptide A","Under-expressed",""
"6628","SNRPB","small nuclear ribonucleoprotein polypeptides B and B1","Under-expressed",""
"6629","SNRPB2","small nuclear ribonucleoprotein polypeptide B2","Under-expressed",""
"6631","SNRPC","small nuclear ribonucleoprotein polypeptide C","Under-expressed","GA:Ce"
"6632","SNRPD1","small nuclear ribonucleoprotein D1 polypeptide","Under-expressed",""
"6635","SNRPE","small nuclear ribonucleoprotein polypeptide E","Under-expressed",""
"6636","SNRPF","small nuclear ribonucleoprotein polypeptide F","Under-expressed",""
"27131","SNX5","sorting nexin 5","Under-expressed",""
"8835","SOCS2","suppressor of cytokine signaling 2","Under-expressed","GA:MmGA:HsL:Hs"
"6272","SORT1","sortilin 1","Over-expressed","GA:Sc"
"6664","SOX11","SRY-box transcription factor 11","Under-expressed","GA:Hsµ"
"6659","SOX4","SRY-box transcription factor 4","Over-expressed","GA:HsµCA:Hs"
"3431","SP110","SP110 nuclear body protein","Over-expressed",""
"10615","SPAG5","sperm associated antigen 5","Under-expressed",""
"6678","SPARC","secreted protein acidic and cysteine rich","Over-expressed","GA:HsµCA:Hs"
"132671","SPATA18","spermatogenesis associated 18","Over-expressed",""
"57405","SPC25","SPC25 component of NDC80 kinetochore complex","Under-expressed",""
"8877","SPHK1","sphingosine kinase 1","Under-expressed","DR:ScCA:Hs"
"58472","SQOR","sulfide quinone oxidoreductase","Over-expressed",""
"6428","SRSF3","serine and arginine rich splicing factor 3","Under-expressed","GA:ScCA:Hs"
"6432","SRSF7","serine and arginine rich splicing factor 7","Under-expressed","GA:Sc"
"6749","SSRP1","structure specific recognition protein 1","Under-expressed","GA:Ce"
"117178","SSX2IP","SSX family member 2 interacting protein","Under-expressed",""
"6772","STAT1","signal transducer and activator of transcription 1","Over-expressed","GA:DmGA:HsµCA:Hs"
"6781","STC1","stanniocalcin 1","Over-expressed",""
"8614","STC2","stanniocalcin 2","Over-expressed",""
"6491","STIL","STIL centriolar assembly protein","Under-expressed",""
"51765","STK26","serine/threonine kinase 26","Under-expressed",""
"3925","STMN1","stathmin 1","Under-expressed",""
"50861","STMN3","stathmin 3","Under-expressed",""
"30968","STOML2","stomatin like 2","Under-expressed",""
"412","STS","steroid sulfatase","Over-expressed",""
"23673","STX12","integral membrane protein 2C","Over-expressed","GA:Sc"
"55359","STYK1","serine/threonine/tyrosine kinase 1","Over-expressed",""
"8801","SUCLG2","succinate-CoA ligase GDP-forming subunit beta","Under-expressed","GA:Sc"
"79783","SUGCT","succinyl-CoA:glutarate-CoA transferase","Over-expressed",""
"23213","SULF1","sulfatase 1","Over-expressed",""
"55959","SULF2","sulfatase 2","Over-expressed",""
"11198","SUPT16H","SPT16 homolog, facilitates chromatin remodeling subunit","Under-expressed",""
"79723","SUV39H2","suppressor of variegation 3-9 homolog 2","Under-expressed","GA:Sc"
"9900","SV2A","synaptic vesicle glycoprotein 2A","Under-expressed",""
"6840","SVIL","supervillin","Over-expressed",""
"10492","SYNCRIP","synaptotagmin binding cytoplasmic RNA interacting protein","Under-expressed",""
"9145","SYNGR1","synaptogyrin 1","Over-expressed",""
"9144","SYNGR2","synaptogyrin 2","Over-expressed",""
"6857","SYT1","synaptotagmin 1","Over-expressed","CA:Hs"
"10460","TACC3","transforming acidic coiled-coil containing protein 3","Under-expressed","CA:Hs"
"6884","TAF13","TATA-box binding protein associated factor 13","Over-expressed",""
"9015","TAF1A","TATA-box binding protein associated factor, RNA polymerase I subunit A","Under-expressed",""
"9014","TAF1B","TATA-box binding protein associated factor, RNA polymerase I subunit B","Under-expressed",""
"6877","TAF5","TATA-box binding protein associated factor 5","Under-expressed",""
"85461","TANC1","tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1","Over-expressed","GA:Hsµ"
"128989","TANGO2","transport and golgi organization 2 homolog","Over-expressed",""
"6890","TAP1","transporter 1, ATP binding cassette subfamily B member","Over-expressed","GA:Hsµ"
"6892","TAPBP","TAP binding protein","Over-expressed","GA:Hsµ"
"55296","TBC1D19","TBC1 domain family member 19","Over-expressed",""
"23158","TBC1D9","TBC1 domain family member 9","Over-expressed",""
"10915","TCERG1","transcription elongation regulator 1","Under-expressed","GA:Ce"
"6941","TCF19","transcription factor 19","Under-expressed","L:Hs"
"6929","TCF3","transcription factor 3","Under-expressed","GA:Hs"
"6949","TCOF1","treacle ribosome biogenesis factor 1","Under-expressed",""
"6950","TCP1","t-complex 1","Under-expressed","GA:Ce"
"26123","TCTN3","tectonic family member 3","Over-expressed",""
"93081","TEX30","testis expressed 30","Under-expressed",""
"7019","TFAM","transcription factor A, mitochondrial","Under-expressed","L:Hs"
"7042","TGFB2","transforming growth factor beta 2","Over-expressed","GA:DmL:HsCA:Hs"
"7052","TGM2","transglutaminase 2","Over-expressed","GA:Hsµ"
"10618","TGOLN2","trans-golgi network protein 2","Over-expressed",""
"7057","THBS1","thrombospondin 1","Over-expressed",""
"54974","THG1L","tRNA-histidine guanylyltransferase 1 like","Under-expressed",""
"9984","THOC1","THO complex 1","Under-expressed",""
"92610","TIFA","TRAF interacting protein with forkhead associated domain","Under-expressed",""
"57103","TIGAR","TP53 induced glycolysis regulatory phosphatase","Over-expressed","CA:Hs"
"8914","TIMELESS","timeless circadian regulator","Under-expressed","CA:Hs"
"7077","TIMP2","TIMP metallopeptidase inhibitor 2","Over-expressed","GA:Hsµ"
"7078","TIMP3","TIMP metallopeptidase inhibitor 3","Over-expressed","GA:Hsµ"
"54962","TIPIN","TIMELESS interacting protein","Under-expressed",""
"7083","TK1","thymidine kinase 1","Under-expressed",""
"7098","TLR3","toll like receptor 3","Over-expressed","CA:Hs"
"83941","TM2D1","TM2 domain containing 1","Over-expressed",""
"51768","TM7SF3","transmembrane 7 superfamily member 3","Over-expressed","GA:Hsµ"
"55319","TMA16","translation machinery associated 16 homolog","Under-expressed",""
"64114","TMBIM1","transmembrane BAX inhibitor motif containing 1","Over-expressed",""
"54664","TMEM106B","transmembrane protein 106B","Over-expressed",""
"338773","TMEM119","transmembrane protein 119","Under-expressed",""
"55654","TMEM127","transmembrane protein 127","Over-expressed",""
"23505","TMEM131","transmembrane protein 131","Over-expressed",""
"100507421","TMEM178B","transmembrane protein 178B","Over-expressed",""
"221468","TMEM217","transmembrane protein 217","Over-expressed",""
"26175","TMEM251","transmembrane protein 251","Under-expressed",""
"55754","TMEM30A","transmembrane protein 30A","Over-expressed",""
"59353","TMEM35A","transmembrane protein 35A","Over-expressed",""
"55076","TMEM45A","transmembrane protein 45A","Over-expressed",""
"83604","TMEM47","transmembrane protein 47","Over-expressed",""
